ID,Age_Months,Gender,Trial_Number,Social_Video_Side,Video_Names,Fam_Right_Box,Fam_Left_Box,Opens_RightVideo,Opens_LeftVideo,RightVideo_Height,LeftVideo_Height,RightVideo_Time,LeftVideo_Time,N_Switch,First_Box
1_6M_Zoo,75,M,1,L,Social_Play_M1 / Nonsocial_Caregiving_M2,1,1,0,1,0,8,0,30,0,
1_6M_Zoo,75,M,2,L,Social_Conflict_M1 / Nonsocial_Grooming_M2,1,1,1,1,8,8,26,3,1,
1_6M_Zoo,75,M,3,L,Social_Grooming_M1 / Nonsocial_Conflict_M2 ,1,1,1,1,7,8,1,22,2,
1_6M_Zoo,75,M,4,L,Social_Caregiving_M1 / Nonsocial_Play_M2,1,1,1,1,7,7,20,5,2,
2_6M_Zoo ,74,M,1,L,Social_Conflict_M1 / Nonsocial_Play_M2 ,1,1,1,0,10,0,24,0,0,
2_6M_Zoo ,74,M,2,L,Social_Play_M1 / Nonsocial_Grooming_M2,1,1,1,1,10,10,5,18,1,
2_6M_Zoo ,74,M,3,L,Social_Caregiving_M1 / Nonsocial_Conflict_M2,1,1,1,1,11,10,11,12,2,
2_6M_Zoo ,74,M,4,L,Social_Grooming_M1 / Nonsocial_Caregiving_M2,1,1,1,1,11,10,6,6,1,
3_6M_Zoo,78,M,1,L,Social_Grooming_M1 / Nonsocial_Conflict_M2,1,1,1,1,10,11,12,2,1,
3_6M_Zoo,78,M,2,L,Social_Caregiving_M1 / Nonsocial_Play_M2,1,1,1,0,10,0,27,0,0,
3_6M_Zoo,78,M,3,L,Social_Play_M1 / Nonsocial_Conflict_M2 ,1,1,0,1,0,12,0,28,0,
3_6M_Zoo,78,M,4,L,Social_Conflict_M1 / Nonsocial_Caregiving_M2 ,1,1,1,1,10,10,14,9,1,
1_6F_Zoo ,79,F,1,L,Social_Play_F1 / Nonsocial_Caregiving_F2 ,1,1,0,1,0,8,0,23,0,
1_6F_Zoo ,79,F,2,L,Social_Conflict_F1 / Nonsocial_Grooming_F2,1,1,1,0,9,0,28,0,0,
1_6F_Zoo ,79,F,3,L,Social_Grooming_F1 / Nonsocial_Conflict_F1,1,1,0,1,0,8,0,28,0,
1_6F_Zoo ,79,F,4,L,Social_Caregiving_F1 / Nonsocial_Play_F2 ,1,1,1,0,8,0,28,0,0,
4_5M_Zoo ,66,M,1,L,Social_Caregiving_M1 / Nonsocial_Grooming_M2,1,1,1,1,5,6,10,16,1,
4_5M_Zoo ,66,M,2,L,Social_Grooming_M1 / Nonsocial_Conflict_M2,1,1,0,0,0,0,0,0,0,
4_5M_Zoo ,66,M,3,L,Social_Conflict_M1/ Nonsocial_Play_M2,1,1,0,1,0,8,0,22,0,
4_5M_Zoo ,66,M,4,L,Social_Play_M1 / Nonsocial_Caregiving_M2,1,1,0,1,0,7,0,28,0,
2_5F_Zoo,64,F,1,L,Social_Conflict_F2/ Nonsocial_Play_F2,1,1,1,1,8,7,16,6,3,
2_5F_Zoo,64,F,2,L,Social_Play_F1/ Nonsocial_Grooming_F2 ,1,1,1,1,7,8,1,16,1,
2_5F_Zoo,64,F,3,L,Social_Caregiving_F1/ Nonsocial_Conflict_F2 ,1,1,1,1,8,7,20,6,1,
2_5F_Zoo,64,F,4,L,Social_Grooming_F1/ Nonsocial_Caregiving_F2 ,1,1,1,1,8,8,3,14,1,
5_5M_Zoo,54,M,1,L,Social_Play_M2/ Nonsocial_Conflict_M2 ,1,1,1,1,7,7,5,9,1,
5_5M_Zoo,54,M,2,L,Social_Caregiving_M1/Nonsocial_Grooming_M1,1,1,1,1,8,8,7,12,1,
5_5M_Zoo,54,M,3,L,Social_Grooming_M2/Nonsocial_Play_M2 ,1,1,1,1,8,8,12,9,1,
5_5M_Zoo,54,M,4,L,Social_Conflict_M/Nonsocial_Caregiving_M2,1,1,1,1,7,10,4,17,1,
6_4M_Zoo,54,M,1,L,Nonsocial_Play_M2/ Social_Conflict_M2,1,1,1,1,9,10,9,7,1,
6_4M_Zoo,54,M,2,L,Nonsocial_Grooming_M1/ Social_Caregiving_M1 ,1,1,1,1,11,9,7,12,1,
6_4M_Zoo,54,M,3,L,Nonsocial_Conflict_M1/ Social_Play_M2 ,1,1,1,1,9,9,8,11,1,
6_4M_Zoo,54,M,4,L,Nonsocial_Caregiving_M/ Social_Grooming_M2,1,1,1,1,10,8,18,7,1,
7_6M_Zoo ,83,M,1,L,Social_Grooming_M2/Nonsocial_Conflict_M2 ,1,1,1,0,12,0,18,0,0,
7_6M_Zoo ,83,M,2,L,Social_Conflict_M2/Nonsocial_Grooming_M2,1,1,0,1,0,12,28,0,0,
7_6M_Zoo ,83,M,3,L,Social_Play_M1/Nonsocial_Conflict_M2,1,1,1,0,11,0,28,0,0,
