ID,Age_Months,Gender,Trial_Number,Condition,Video_Side,Video_Name,Fam_Video_Box (Opened Video Box During Familiarization?) (1/0),Fam_Reward_Box (Opened Reward Box During Familiarization?)(1/0),Opens_Video,Opens_Reward,Video_Height,Reward_Height,Video_Time,Reward_Time,Number of Times Switched Between Boxes,First_Box
1_6M_LHS ,53,M,1,Social,R,Social_Play_M1,1,1,0,1,0,11,0,27,0,
1_6M_LHS ,53,M,2,Nonsocial,R,Nonsocial_Conflict_M1,1,1,0,1,0,12,0,28,0,
1_6M_LHS ,53,M,3,Social,R,Social_Grooming_M1,1,1,0,1,0,10,0,20,0,
1_6M_LHS ,53,M,4,Nonsocial,R,Nonsocial_Caregiving_M1,1,1,1,1,10,7,8,11,1,
2_5M_LHS,69,M,1,Nonsocial,R,Nonsocial_Conflict_M1,1,1,0,1,0,8,0,26,0,
2_5M_LHS,69,M,2,Social,R,Social_Play_M1 ,1,1,1,0,10,0,28,0,0,
2_5M_LHS,69,M,3,Nonsocial,R,Nonsocial_Caregiving_M1,1,1,0,1,0,10,0,28,0,
2_5M_LHS,69,M,4,Social,R,Social_Grooming_M1,1,1,0,1,0,9,0,29,0,
1_5F_LHS,68,F,1,Social,R,Social_Conflict_F1,1,1,0,1,0,10,0,29,0,
1_5F_LHS,68,F,2,Nonsocial,R,Nonsocial_Play_F1,1,1,1,1,7,7,6,22,1,
1_5F_LHS,68,F,3,Social,R,Social_Grooming_F1,1,1,1,1,6,9,12,15,1,
1_5F_LHS,68,F,4,Nonsocial,R,Nonsocial_Caregiving_F1,1,1,1,1,7,7,4,21,1,
2_4F_Zoo,50,F,1,Nonsocial,R,Nonsocial_Conflict_F1 ,1,1,0,1,0,6,0,19,0,
2_4F_Zoo,50,F,2,Social,R,Social_Play_F1 ,1,1,0,1,0,5,0,24,0,
2_4F_Zoo,50,F,3,Nonsocial,R,Nonsocial_Caregiving_F1 ,1,1,0,1,0,6,0,24,0,
2_4F_Zoo,50,F,4,Social,R,Social_Grooming_F1,1,1,0,1,0,5,0,23,0,
3_4F_Zoo,50,F,1,Social,R,Social_Grooming_F1 ,1,1,0,1,0,10,0,23,0,
3_4F_Zoo,50,F,2,Nonsocial,R,Nonsocial_Caregiving_F1,1,1,0,1,0,10,0,21,0,
3_4F_Zoo,50,F,3,Social,R,Social_Play_F1 ,1,1,0,1,0,11,0,15,0,
3_4F_Zoo,50,F,4,Nonsocial,R,Nonsocial_Conflict_F1,1,1,0,1,0,9,0,21,0,
3_4M_Zoo,55,M,1,Social,R,Social_Grooming_M1 ,1,1,0,1,0,11,0,27,0,
3_4M_Zoo,55,M,2,Nonsocial,R,Nonsocial_Caregiving_M1,1,1,1,0,9,0,28,0,0,
3_4M_Zoo,55,M,3,Social,R,Social_Play_M1 ,1,1,1,0,7,0,29,0,0,
3_4M_Zoo,55,M,4,Nonsocial,R,Nonsocial_Conflict_M1 ,1,1,0,1,0,8,0,28,0,
4_5M_Zoo ,66,M,1,Nonsocial,R,Nonsocial_Play_M1,1,1,0,1,0,6,0,25,0,
4_5M_Zoo ,66,M,2,Social,R,Social_Grooming_M1,1,1,0,1,0,4,0,28,0,
4_5M_Zoo ,66,M,3,Nonsocial,R,Nonsocial_Conflict_M1,1,1,1,1,5,4,9,10,2,
4_5M_Zoo ,66,M,4,Social,R,Social_Caregiving_M1,1,1,0,1,0,4,0,27,0,
5_6M_Zoo,69,M,1,Social,R,Social_Conflict_M1,1,1,0,1,0,12,0,28,0,
5_6M_Zoo,69,M,2,Nonsocial,R,Nonsocial_Play_M1 ,1,1,0,1,0,12,0,28,0,
5_6M_Zoo,69,M,3,Social,R,Social_Grooming_M2 ,1,1,0,1,0,9,0,28,0,
5_6M_Zoo,69,M,4,Nonsocial,R,Nonsocial_Caregiving_M1 ,1,1,0,1,0,9,0,22,0,
4_5F_Zoo ,71,F,1,Nonsocial,R,Nonsocial_Play_F1 ,1,1,0,1,0,9,0,27,0,
4_5F_Zoo ,71,F,2,Social,R,Social_Grooming_F1 ,1,1,0,1,0,10,0,28,0,
4_5F_Zoo ,71,F,3,Nonsocial,R,Nonsocial_Conflict_F1,1,1,1,0,9,0,28,0,0,
4_5F_Zoo ,71,F,4,Social,R,Social_Caregiving_F1 ,1,1,0,1,0,10,0,27,0,
6_6M_Zoo ,74,M,1,Nonsocial,R,Nonsocial_Grooming_M1 ,1,1,1,0,10,0,28,0,0,
6_6M_Zoo ,74,M,2,Social,R,Social_Conflict_M1 ,1,1,0,1,0,10,0,22,0,
6_6M_Zoo ,74,M,3,Nonsocial,R,Nonsocial_Play_M1,1,1,1,0,12,0,16,0,0,
6_6M_Zoo ,74,M,4,Social,R,Social_Caregiving_M2,1,1,1,1,10,10,8,16,1,
7_4M_Zoo ,48,M,1,Social,R,Social_Caregiving_M2 ,1,1,0,1,0,8,0,14,0,
7_4M_Zoo ,48,M,2,Nonsocial,R,Nonsocial_Grooming_M2 ,1,1,0,1,0,8,0,19,0,
7_4M_Zoo ,48,M,3,Social,R,Social_Play_M1 ,1,1,0,1,0,9,0,20,0,
7_4M_Zoo ,48,M,4,Nonsocial,R,Nonsocial_Conflict_M2,1,1,0,1,0,11,0,25,0,
8_5M_Zoo,64,M,1,Nonsocial,R,Nonsocial_Play_M2 ,1,1,1,1,8,11,6,21,1,
8_5M_Zoo,64,M,2,Social,R,Social_Caregiving_M2,1,1,1,1,6,8,4,15,2,
8_5M_Zoo,64,M,3,Nonsocial,R,Nonsocial_Conflict_M,1,1,0,1,0,7,0,24,0,
8_5M_Zoo,64,M,4,Social,R,Social_Grooming_M2 ,1,1,1,1,7,8,3,20,2,
9_5M_Zoo,62,M,1,Social,R,Social_Caregiving_M1,1,1,1,1,10,6,15,8,1,
9_5M_Zoo,62,M,2,Nonsocial,R,Nonsocial_Play_M2 ,1,1,1,1,6,6,25,1,1,
9_5M_Zoo,62,M,3,Social,R,Social_Conflict_M2 ,1,1,1,0,8,0,28,0,0,
5_5F_Zoo ,61,F,1,Social,R,Social_Conflict_F,1,1,0,1,0,9,0,25,0,
5_5F_Zoo ,61,F,2,Nonsocial,R,Nonsocial_Play_F1,1,1,1,0,10,0,29,0,0,
5_5F_Zoo ,61,F,3,Social,R,Social_Grooming_F2 ,1,1,0,1,0,10,0,27,0,
5_5F_Zoo ,61,F,4,Social,R,Social_Caregiving_F1 ,1,1,1,0,9,0,28,0,0,
6_5F_ZOO ,70,F,1,Nonsocial,R,Nonsocial_Grooming_F1 ,1,1,1,1,7,6,7,14,2,
6_5F_ZOO ,70,F,2,Social,R,Social_Conflict_F1 ,1,1,1,1,7,6,9,14,3,
6_5F_ZOO ,70,F,3,Nonsocial,R,Nonsocial_Play_F1 ,1,1,1,1,6,7,11,12,3,
6_5F_ZOO ,70,F,4,Social,R,Social_Caregiving_F2 ,1,1,1,1,7,6,4,18,1,
7_4F_ZOO ,60,F,1,Social,R,Social_Caregiving_F2,1,1,1,0,7,0,29,0,0,
7_4F_ZOO ,60,F,2,Nonsocial,R,Nonsocial_Grooming_F2 ,1,1,0,1,0,6,28,0,0,
7_4F_ZOO ,60,F,3,Social,R,Social_Play_F1 ,1,1,0,1,0,10,0,28,0,
7_4F_ZOO ,60,F,4,Nonsocial,R,Nonsocial_Conflict_F2 ,1,1,1,0,9,0,29,0,0,
10_6M_ZOO ,72,M,1,Nonsocial,L,Nonsocial_Conflict_M1 ,1,1,0,1,0,8,0,23,0,
10_6M_ZOO ,72,M,2,Social,L,Social_Grooming_M2 ,1,1,0,1,0,11,0,22,0,
10_6M_ZOO ,72,M,3,Nonsocial,L,Nonsocial_Play_M2 ,1,1,1,1,9,10,4,15,1,
10_6M_ZOO ,72,M,4,Social,L,Social_Caregiving_M2 ,1,1,0,1,0,9,0,19,0,
8_5F_ZOO ,67,F,1,Nonsocial,R,Nonsocial_Play_F2 ,1,1,1,0,9,0,26,0,0,
8_5F_ZOO ,67,F,2,Social,R,Social_Caregiving_F2 ,1,1,1,0,9,0,28,0,0,
