Participant,Gender,Trial_Number,Social_Video_Side,Nonsocial_Video_Name,Social_Video_Name,Fam_Right_Box,Fam_Left_Box,LeftVideo_Time,RightVideo_Time,Opens_RightVideo,Opens_LeftVideo
Bwambale,M,1,Left,Nonsocial_Conflict_M1,Social_Groom_M1,1,1,6,2,1,1
Bwambale,M,2,Left,Nonsocial_Groom_M2,Social_Play_M1,1,1,0,0,0,0
Bwambale,M,3,Right,Nonsocial_Caregiving_M1,Social_Conflict_M2,1,1,0,0,0,0
Bwambale,M,4,Right,Nonsocial_Play_M2,Social_Play_M2,1,1,4,0,0,1
Boluku,M,1,Left,Nonsocial_Groom_M2,Social_Conflict_M1,1,1,4,13,,
Boluku,M,2,Left,Nonsocial_Groom_M2,Social_Groom_M1,1,1,6,2,,
Boluku,M,3,Right,Nonsocial_Conflict_M2,Social_Caregiving_M1,1,1,10,37,,
Boluku,M,4,Right,Nonsocial_Play_M2,Social_Groom_M1,1,1,11,22,,
Rambo,M,1,Left,Nonsocial_Conflict_M2,Social_Groom_M1,1,1,10,10,,
Rambo,M,2,Left,Nonsocial_Groom_M2,Social_Caregiving_M1,1,1,18,6,,
Rambo,M,3,Right,Nonsocial_Conflict_M2,Social_Play_M1,1,1,11,21,,
Rambo,M,4,Right,Nonsocial_Play_M2,Social_Conflict_M1,1,1,15,12,,
Kidogu,F,1,Right,Nonsocial_Play_F1,Social_Conflict_F1,1,1,3,0,,
Kidogu,F,2,Right,Nonsocial_Conflict_F2,Social_Groom_F2,1,1,0,0,,
Kidogu,F,3,Left,Nonsocial_Caregiving_F1,Social_Play_F2,1,1,0,0,,
Kidogu,F,4,Left,Nonsocial_Play_F2,Social_Caregiving_F2,1,1,0,0,,
Nkuumwa,F,1,Left,Nonsocial_Caregiving_F2,Social_Groom_F1,1,1,13,4,,
Nkuumwa,F,2,Left,Nonsocial_Groom_F2,Social_Conflict_F1,1,1,10,4,,
Nkuumwa,F,3,Right,Nonsocial_Conflict_F1,Social_Groom_F1,1,1,2,3,,
